ticker,f_rsi2,f_rsi14,f_atr_pct,f_pullback,f_vs_sma50,f_vs_sma200,f_trend_spread,f_adx,f_dvol_musd,f_down_days,signal_date,entry_date,exit_date,days,entry,stop,exit,stop_dist_pct,r,gross_pct,mae_pct,reason,score,cost_pct_margin
JPM,1.6,36.3,1.55,6.42,-2.22,10.58,13.09,23.8,1548.0,3,2020-01-27,2020-01-28,2020-02-13,13,132.94,129.3,137.88,2.74,1.25,3.72,-1.11,tiempo,77.7,4.9
ASML,5.9,37.8,1.78,6.13,-0.79,19.16,20.11,21.2,174.0,2,2020-01-27,2020-01-28,2020-01-31,4,288.62,281.01,281.01,2.64,-1.083,-2.64,-1.2,stop,81.7,2.2
MU,4.4,49.2,3.22,6.4,6.33,23.42,16.08,29.8,1308.0,2,2020-01-27,2020-01-28,2020-01-30,3,56.25,53.57,53.57,4.76,-1.04,-4.76,-1.8,stop,73.6,1.9
NVO,7.7,55.1,1.52,3.89,3.73,14.27,10.16,27.3,76.0,2,2020-01-27,2020-01-28,2020-02-13,13,30.14,29.29,31.37,2.81,1.305,4.1,-0.8,tiempo,52.3,4.9
NVDA,8.2,50.2,2.59,5.01,5.06,29.19,22.96,29.8,1718.0,2,2020-01-27,2020-01-28,2020-02-13,13,6.07,5.77,6.77,4.89,1.827,11.5,-3.34,tiempo,70.3,4.9
RACE,3.4,45.5,1.6,3.58,0.08,6.89,6.8,15.4,58.0,2,2020-01-27,2020-01-28,2020-02-04,6,169.51,165.48,168.25,2.38,0.476,-0.74,-0.7,gap,58.5,2.8
GOOGL,3.9,56.0,1.45,3.57,4.92,16.4,10.94,51.4,2190.0,2,2020-01-27,2020-01-28,2020-02-13,13,72.09,70.53,75.67,2.15,1.676,4.97,-1.37,tiempo,59.5,4.9
AAPL,6.7,58.6,1.75,3.22,8.32,34.82,24.46,48.5,10067.0,2,2020-01-27,2020-01-28,2020-01-31,4,78.15,75.95,78.23,2.82,0.689,0.1,-0.13,stop,62.3,2.2
LITE,7.8,44.3,3.05,8.52,0.65,26.07,25.25,23.6,109.0,2,2020-01-27,2020-01-28,2020-02-13,13,77.36,73.89,90.44,4.48,2.526,16.91,-2.26,tiempo,77.6,4.9
MS,4.1,51.6,2.13,7.65,4.02,16.37,11.87,34.6,547.0,3,2020-01-27,2020-01-28,2020-02-13,13,53.8,51.84,55.93,3.64,0.954,3.96,-3.55,tiempo,71.7,4.9
EWT,29.1,37.6,1.31,5.43,-2.63,7.24,10.13,21.2,173.0,2,2020-01-28,2020-01-29,2020-01-30,2,39.72,38.85,38.41,2.2,-1.572,-3.3,-0.38,gap,61.6,1.6
META,29.9,39.9,2.42,8.53,-1.75,5.98,7.87,31.0,3657.0,2,2020-02-03,2020-02-04,2020-02-21,13,206.62,199.21,210.18,3.59,0.854,1.72,-0.69,tiempo,68.2,4.9
AVGO,11.4,44.2,2.5,5.79,-2.92,3.8,6.92,12.8,876.0,2,2020-02-03,2020-02-04,2020-02-21,13,31.18,30.04,30.45,3.67,-0.771,-2.34,-3.05,tiempo,53.3,4.9
AAPL,14.2,52.2,2.27,4.83,6.3,32.99,25.12,39.4,11066.0,3,2020-02-03,2020-02-04,2020-02-21,13,78.83,75.21,78.26,4.6,-0.263,-0.72,-1.53,tiempo,58.9,4.9
LMT,9.6,56.3,1.56,3.04,5.17,12.97,7.43,46.6,554.0,2,2020-02-03,2020-02-04,2020-02-21,13,430.0,420.07,427.8,2.31,-0.434,-0.51,-1.71,tiempo,42.8,4.9
INTC,6.9,56.9,2.07,3.4,7.48,24.69,16.01,37.2,1644.0,3,2020-02-18,2020-02-19,2020-02-20,2,66.69,64.63,64.63,3.08,-1.052,-3.08,-0.76,stop,63.7,1.6
LITE,8.5,53.0,3.63,8.8,6.26,36.63,28.58,29.7,143.0,3,2020-02-18,2020-02-19,2020-02-24,4,86.71,79.69,78.15,8.09,-1.247,-9.87,-5.25,gap,60.5,2.2
EWT,13.3,46.5,1.47,3.64,-2.08,6.95,9.22,17.9,198.0,3,2020-02-18,2020-02-19,2020-02-24,4,40.18,39.1,38.02,2.68,-2.088,-5.38,-2.49,gap,44.7,2.2
WDC,17.2,53.8,3.41,3.69,6.94,24.39,16.33,23.6,330.0,3,2020-02-18,2020-02-19,2020-02-24,4,52.14,49.5,48.07,5.06,-1.585,-7.8,-4.1,gap,49.4,2.2
TSM,8.8,45.2,2.59,5.79,-2.59,17.38,20.5,17.1,481.0,3,2020-02-18,2020-02-19,2020-02-24,4,57.25,55.07,53.55,3.81,-1.753,-6.46,-3.02,gap,72.6,2.2
QCOM,13.5,46.8,2.72,6.89,-0.88,9.91,10.88,13.5,879.0,3,2020-02-18,2020-02-19,2020-02-24,4,89.0,85.41,83.9,4.04,-1.473,-5.73,-3.0,gap,65.5,2.2
GS,5.8,41.3,1.87,5.6,-1.09,9.04,10.24,16.7,641.0,3,2020-02-18,2020-02-19,2020-02-21,3,237.07,230.33,230.33,2.84,-1.067,-2.84,-2.45,stop,71.1,1.9
LLY,1.5,51.8,1.64,4.42,3.9,19.02,14.56,36.1,487.0,3,2020-02-19,2020-02-20,2020-02-24,3,141.84,138.38,138.38,2.44,-1.078,-2.44,-1.06,stop,72.3,1.9
NFLX,3.6,54.3,2.84,4.92,7.05,14.28,6.76,39.5,1996.0,3,2020-02-24,2020-02-25,2020-02-28,4,37.28,35.71,35.71,4.21,-1.052,-4.21,-4.05,stop,57.8,2.2
MSFT,1.6,42.8,2.75,9.44,2.13,17.69,15.23,46.0,6718.0,3,2020-02-24,2020-02-25,2020-02-27,3,174.55,162.29,162.29,7.02,-1.027,-7.02,-3.95,stop,81.0,1.9
NOW,2.0,50.1,2.96,6.75,7.11,19.78,11.83,39.8,682.0,3,2020-02-24,2020-02-25,2020-02-27,3,67.71,64.44,64.44,4.83,-1.039,-4.83,-3.25,stop,72.2,1.9
ASML,4.9,41.0,2.52,8.52,-2.9,17.07,20.56,17.8,292.0,3,2020-02-24,2020-02-25,2020-02-25,1,295.55,284.59,284.59,3.71,-1.035,-3.71,0.0,stop,75.5,1.3
AMAT,6.6,44.2,3.6,9.39,-1.64,17.14,19.09,19.8,574.0,3,2020-02-24,2020-02-25,2020-02-25,1,61.92,58.62,58.62,5.33,-1.024,-5.33,0.0,stop,70.6,1.3
AMD,5.7,44.0,4.93,16.6,0.72,35.78,34.82,27.3,3247.0,3,2020-02-24,2020-02-25,2020-02-27,3,51.14,47.01,45.38,8.08,-1.417,-11.26,-7.96,gap,60.9,1.9
GOOGL,1.2,38.8,2.02,6.89,-0.61,13.18,13.88,33.9,2737.0,3,2020-02-24,2020-02-25,2020-02-25,1,71.82,69.66,69.66,3.0,-1.043,-3.0,0.0,stop,87.6,1.3
IGV,2.9,43.8,1.91,6.14,1.67,11.41,9.58,45.8,176.0,3,2020-02-24,2020-02-25,2020-02-25,1,50.5,48.92,48.92,3.12,-1.042,-3.12,0.0,stop,70.9,1.3
